idx,T,log10E,log10Jump,dir,cap,E,slope
185,7001.85,-1.827415006934940411e+00,-2.235110167995401298e+00,1,0,1.487938540761306154e-02,-2.556790600591007045e+00
186,7001.86,-1.996091249430187897e+00,-2.382938825417897366e+00,-1,0,1.009040854654700073e-02,2.436955371839929274e+00
187,7001.87,-1.470366555119555940e+00,-1.835096121580815254e+00,-1,0,3.385582840776552027e-02,2.315952066237391804e+00
188,7001.88,-1.248672523703206361e+00,-1.589908845319230934e+00,-1,0,5.640628225900447962e-02,2.193998476241511231e+00
189,7001.89,-1.109392580547035934e+00,-1.425638180040487812e+00,-1,0,7.773335625908169011e-02,2.071312373235929982e+00
190,7001.9,-1.009524337828414664e+00,-1.299138081034095116e+00,-1,0,9.783081289382267176e-02,1.948111200100504092e+00
191,7001.91,-9.329492918180947170e-01,-1.194119762694158648e+00,-1,0,1.166945861593337158e-01,1.824611765132122976e+00
192,7001.92,-8.718503488303381843e-01,-1.102562305988607605e+00,-1,0,1.343227736929107907e-01,1.701029937717822405e+00
193,7001.93,-8.218417186356455906e-01,-1.019833205730962256e+00,-1,0,1.507156258711057906e-01,1.577580346159443980e+00
194,7001.94,-7.802176715114381711e-01,-9.429242542562944474e-01,-1,0,1.658755318984481419e-01,1.454476078045678911e+00
195,7001.95,-7.451933978764617716e-01,-8.696742717652581334e-01,-1,0,1.798070029142583015e-01,1.331928383563411256e+00
196,7001.96,-7.155316992796686426e-01,-7.983696060496163760e-01,-1,0,1.925166521488879678e-01,1.210146382135861121e+00
197,7001.97,-6.903417913304330522e-01,-7.275039557006964808e-01,-1,0,2.040131721645718210e-01,1.089336772770108652e+00
198,7001.98,-6.689630165469454548e-01,-6.556020013984332762e-01,-1,0,2.143073092198755913e-01,9.697035484911862291e-01
199,7001.99,-6.508938247190673154e-01,-5.810518091580139100e-01,-1,0,2.234118348004672794e-01,8.514477152340419464e-01
200,7002,-6.357464258510360233e-01,-5.018960779995957910e-01,-1,0,2.313415143626210146e-01,7.347670155583282403e-01
201,7002.01,-6.232167594740403160e-01,-4.155073289233928713e-01,-1,0,2.381130733394780374e-01,6.198556575441557248e-01
202,7002.02,-6.130639984183626767e-01,-3.179897588600346103e-01,-1,0,2.437451604636352298e-01,5.069040492196844605e-01
203,7002.03,-6.050962080519259878e-01,-2.028994484249175001e-01,-1,0,2.482583084631017345e-01,3.960985388637099924e-01
204,7002.04,-5.991601087534856873e-01,-5.798094454122137975e-02,-1,0,2.516748921910560433e-01,2.876211615182577286e-01
205,7002.05,-5.951336539529717973e-01,1.456323973861198551e-01,-1,0,2.540190842531426796e-01,1.816493920376263116e-01
206,7002.06,-5.929205934687308277e-01,5.130076755604798810e-01,-1,0,2.553168081992683858e-01,7.835590499134009734e-02
207,7002.07,-5.924464748771015588e-01,1.063325208487427842e+00,1,0,2.555956893499848337e-01,-2.209165827091447501e-02
208,7002.08,-5.936557163642948165e-01,3.288640392858792061e-01,1,0,2.548850033305778418e-01,-1.195309150940628701e-01
209,7002.09,-5.965095035993868144e-01,7.347272187344945638e-02,1,0,2.532156223889153734e-01,-2.138049592439696667e-01
210,7002.1,-6.009843444013094338e-01,-8.494597249961149954e-02,1,0,2.506199595759354137e-01,-3.047625706076697583e-01
211,7002.11,-6.070711727681852299e-01,-2.006434436862550297e-01,1,0,2.471319108703790568e-01,-3.922584166007124229e-01
212,7002.12,-6.147749373266058193e-01,-2.925216857577193075e-01,1,0,2.427867953319834404e-01,-4.761532450260192451e-01
213,7002.13,-6.241146445886800453e-01,-3.694346871618884309e-01,1,0,2.376212933698509666e-01,-5.563140681401677057e-01
214,7002.14,-6.351238591181769255e-01,-4.362628897443326936e-01,1,0,2.316733832150913719e-01,-6.326143376948311081e-01
215,7002.15,-6.478516946603003479e-01,-4.960002206130306179e-01,1,0,2.249822756890957343e-01,-7.049341107332099954e-01
216,7002.16,-6.623643663835477868e-01,-5.506338594532467212e-01,1,0,2.175883473609425967e-01,-7.731602059336726285e-01
217,7002.17,-6.787474193048127491e-01,-6.015695581839025641e-01,1,0,2.095330721894497761e-01,-8.371863503054584044e-01
218,7002.18,-6.971088081553068472e-01,-6.498592799859282954e-01,1,0,2.008589517472738339e-01,-8.969133160541815641e-01
219,7002.19,-7.175830890423320341e-01,-6.963336359428714539e-01,1,0,1.916094441262158610e-01,-9.522490474479746725e-01
220,7002.2,-7.403371085937781038e-01,-7.416851392401334619e-01,1,0,1.818288916245175135e-01,-1.003108777528425755e+00
221,7002.21,-7.655777672283389235e-01,-7.865250904724484515e-01,1,0,1.715624473184224896e-01,-1.049415134523969728e+00
222,7002.22,-7.935627334051278403e-01,-8.314265877788464820e-01,1,0,1.608560006216337435e-01,-1.091098237837068385e+00
223,7002.23,-8.246154728865539019e-01,-8.769614488417417641e-01,1,0,1.497561019375140690e-01,-1.128095783490350668e+00
224,7002.24,-8.591467750370475054e-01,-9.237369489759044150e-01,1,0,1.383098865099566810e-01,-1.160353118930856908e+00
225,7002.25,-8.976863848382263811e-01,-9.724382274563234674e-01,1,0,1.265649975797902282e-01,-1.187823307105620119e+00
226,7002.26,-9.409309482918525314e-01,-1.023883966891763864e+00,1,0,1.145695089543796591e-01,-1.210467179736016696e+00
